MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367774150,2022-03-31T00:00:02,30.0691,-90.90375,3.2,328.6,335,SCF MARINER,,WDJ4074,31,15,,,,57,A
367534010,2022-03-31T00:00:03,30.15823,-90.9973,0.1,56.5,347,SOPHIA GOLDING,,WDG4196,31,12,27,,,57,A
354499000,2022-03-31T00:00:04,29.18968,-94.63571,0.2,193.5,107,MSC ESTHI,IMO9304411,3EFU3,70,1,336,45,15,71,A
368926035,2022-03-31T00:00:04,38.58866,-90.20667,0,360,511,KIMMSWICK,,AENA,33,15,,,,33,A
368070780,2022-03-31T00:00:05,21.31383,-157.86673,0,287,511,RAINBOWS,IMO0000000,WDK6055,30,,0,0,,,B
368112480,2022-03-31T00:00:07,48.10715,-122.77666,1.1,360,511,JESTER,IMO0000000,WDL2486,37,,12,6,,,B
368044430,2022-03-31T00:00:08,29.76417,-95.10827,0,325.4,0,CORYELL,,WDK3354,57,12,116,34,3.1,57,A
367696750,2022-03-31T00:00:08,25.57446,-79.63322,8.5,336.7,511,LEAP OF FAITH,IMO0000000,WDL3426,36,,13,6,,,B
367384780,2022-03-31T00:00:08,45.58756,-122.7707,0,311.7,137,CAROLYN DOROTHY,IMO9552288,WDE6786,31,0,23,10,,52,A
367560990,2022-03-31T00:00:09,27.63564,-82.56339,0,226.7,176,ATLAS,IMO9641754,WDG6819,31,0,28,12,,52,A
367743710,2022-03-31T00:00:01,33.00909,-79.92096,0.2,253,158,ISLAND MERCHANT,IMO8971592,WDI8942,31,0,19,,,52,A
368163520,2022-03-31T00:00:01,37.1654,-89.08592,0,101.7,40,WALLER,,WDL7792,52,12,218,32,3,57,A
368157190,2022-03-31T00:00:09,47.64453,-122.31387,0,360,511,OTIS 2,IMO0000000,WDL7111,37,,14,5,,,B
367625810,2022-03-31T00:00:01,33.768,-118.22268,1.3,171.1,170,VETERAN,IMO9765720,WDH5227,31,0,31,12,,52,A
368123940,2022-03-31T00:00:04,33.61557,-117.90354,0,360,511,REVE D'O,IMO0000000,WDL3676,36,,14,8,,,B
356436000,2022-03-31T00:00:00,26.06004,-80.13008,0,46.4,261,EVERGLORY,IMO8512889,3EPI9,70,0,225,32,13.2,70,A
369494415,2022-03-31T00:00:02,30.1703,-85.75557,0,279.3,1,CG49415,,,90,0,14,,,51,A
338361065,2022-03-31T00:00:06,47.66621,-122.38829,0,360,511,ESCAPE,IMO0000000,,37,,18,5,,,B
366972280,2022-03-31T00:00:04,29.77964,-95.09884,0,258.1,511,JOEY DEVALL,,WYB7063,31,0,18,7,,31,A
368220140,2022-03-31T00:00:07,18.34024,-64.79517,0.1,360,511,LECHOIX,IMO0000000,1318668,36,,0,0,,,B
368132890,2022-03-31T00:00:07,28.40915,-80.66608,0,302.3,101,BAYOU BANDIT,IMO739103200,WDL4590,0,0,0,0,3,0,A
368098250,2022-03-31T00:00:08,25.75557,-80.18413,6.5,351.7,511,ABBE OF MY EYE,IMO0000000,WDK8869,37,,13,4,,,B
367438530,2022-03-31T00:00:01,29.71237,-93.16237,9.6,111.6,511,CAPT PEYTON P,IMO9593050,WDF3321,60,0,44,9,,60,A
366999521,2022-03-31T00:00:02,38.58757,-90.20843,0,212.6,511,CG CHENA,,NAMM,90,0,22,6,,55,A
338073736,2022-03-31T00:00:04,24.55644,-81.80798,0,360,511,MISCELLANEOUS,IMO0000000,,37,,21,6,,,B
367482310,2022-03-31T00:00:04,18.00574,-66.7651,0.1,232.9,511,DON OSCAR P,IMO7621839,WDF7223,31,0,30,9,3,52,A
